"Row.names","S3C_1","S3C_2","S3C_3","T41T_1","T41T_2","T41T_3","WT_1","WT_2","WT_3","newanno"
"Bcen2424_0190",8.55826255391555,8.27433086250075,10.9603752207426,10.3931357671621,8.2821971299984,8.40510146172852,9.35655348854278,8.38435339952539,8.56678804382963,"hypothetical protein"
"Bcen2424_0191",9.69016838113584,9.48927511305217,10.8348320632248,10.5755315365093,9.67366808449732,9.63089906050129,10.1226492760037,9.47570468031433,9.57686158815013,"hypothetical protein"
"Bcen2424_0251",9.97164636724655,10.2691603846142,8.50495442283223,8.55557166942734,10.0677799610703,9.95217600072042,9.269129329324,9.42690279763885,9.48395479722554,"flagellar transcriptional regulator FlhD"
"Bcen2424_0252",9.10192923165409,9.38682542871573,7.64770683433886,7.63545141706642,9.08099448434031,9.07352102983409,8.39486581600624,8.41307100961714,8.40853065130034,"flagellar transcriptional regulator FlhC"
"Bcen2424_0660",10.4729646797355,10.374879708634,11.6308188608667,11.6275689623733,10.2211778347108,10.2644425003368,10.7769436423857,10.6908370461303,10.2534917054174,"phosphogluconate dehydratase"
"Bcen2424_0750",11.7906768440156,11.4795314618958,13.1899694319741,12.9476428728441,11.4113233302128,11.5843051778506,12.1667757883321,11.6392460800252,11.8906001299819,"nucleotide exchange factor GrpE"
"Bcen2424_0751",9.72882644398381,9.47877704289256,11.2197493586967,10.9152267674966,9.3990712320572,9.58022310809567,10.0467113843014,9.80438596115556,9.87558571779585,"thioredoxin family protein"
"Bcen2424_0752",14.4077408975755,13.8888220935765,16.0757715840497,15.9368962201098,13.9424651027924,14.0832218807094,15.0398571259705,14.1732919221332,14.2632470236796,"molecular chaperone DnaK"
"Bcen2424_0859",12.7374379937155,12.2030601007634,13.6803450948526,13.4966588551422,12.3857898549831,12.4755876453227,13.2867552104603,12.477243351253,12.5743738453675,"co-chaperone GroES"
"Bcen2424_0860",14.9626355610745,14.3197398303423,15.7540811806717,15.5757915197557,14.4379918197217,14.6406175341954,15.4363179320279,14.6499504983774,14.7768941412067,"chaperonin GroEL"
"Bcen2424_1191",10.9137567248959,10.6167936077098,12.6393293984236,12.3331714945494,10.6205005520779,10.8142960032384,11.1632935034114,10.8078745020395,10.9819405481401,"SDR family oxidoreductase"
"Bcen2424_1262",10.5910422033244,10.2158398724921,12.8872791186497,12.4631334667008,10.2317712146896,10.3727254231109,11.1443635964409,10.1621801846609,10.5616317701875,"Hsp20/alpha crystallin family protein"
"Bcen2424_1263",10.4463655931287,10.0052006067136,12.8827261326107,12.3990906825675,10.0387039256983,10.1819737938911,10.8926439619416,10.0388890460104,10.3077639234922,"Hsp20/alpha crystallin family protein"
"Bcen2424_1492",8.79664882407561,8.68198895797523,9.85688606101883,10.2543950708907,8.79959668310503,8.7396225045605,9.39240586025907,8.74060582900597,8.65291819199705,"hypothetical protein"
"Bcen2424_1532",7.23927952254597,7.60028528343866,8.33592814291858,8.89664883170705,7.58288722905437,7.4333760105607,8.12842809167068,7.28792402263277,7.16900261293247,"hypothetical protein"
"Bcen2424_1605",9.37399048870254,10.2842575898167,8.99089753490007,8.78444298932004,10.0220515251924,9.99527899661049,9.15838354748457,9.62332771491018,9.25055855006092,"CysB family HTH-type transcriptional regulator"
"Bcen2424_1746",11.8037048474449,11.2924448230887,12.3912619021714,12.5980742192229,11.2799206106721,11.2833453524176,12.3009753729407,11.9343254258167,11.852936170705,"TIGR01244 family phosphatase"
"Bcen2424_1747",8.46827451324693,8.19712460957678,9.25611306720364,9.24483852727731,7.93998993649782,7.89729543316202,8.7841190717737,8.76122577025445,8.69451816135764,"sulfite exporter TauE/SafE family protein"
"Bcen2424_1847",13.4662171080154,12.9569147992321,15.6075502729664,15.3320047055931,13.0503118602706,13.1746750490766,13.9963959533335,13.1695947667143,13.3717494624533,"ATP-dependent chaperone ClpB"
"Bcen2424_1921",15.1456407675733,14.8439480331838,16.531989356883,16.4212957318362,14.925423825864,14.9636118176961,15.5283570262054,14.9849456084469,15.0280464986166,"endopeptidase La"
