"Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","newanno","mutant","comparedTo"
"Bcen2424_0001",1928.02026055952,0.4408233074112,0.144594864840993,3.04867885796608,0.00229850044141445,0.0267239699725016,"chromosomal replication initiator protein DnaA","A244T","N274Y"
"Bcen2424_0002",9176.8337076131,0.558024475190943,0.168682290282185,3.3081390717273,0.000939181580319797,0.0157276765074168,"DNA polymerase III subunit beta","A244T","N274Y"
"Bcen2424_0003",12299.8093748839,0.750781863708637,0.213364811197308,3.51877078275271,0.000433551119808125,0.0101032360953907,"DNA topoisomerase (ATP-hydrolyzing) subunit B","A244T","N274Y"
"Bcen2424_0023",589.179564315659,-0.589379018331574,0.244798829617772,-2.40760553982969,0.016057520220967,0.0869358119985211,"L-histidine N(alpha)-methyltransferase","A244T","N274Y"
"Bcen2424_0031",37.1744116949709,-0.671794059541358,0.263422376814541,-2.55025433930515,0.0107644357036937,0.068983820302697,"sensor histidine kinase","A244T","N274Y"
"Bcen2424_0043",1408.93679883876,0.743677396428429,0.300224711134494,2.47706923796582,0.0132466201934756,0.0775706984142012,"CidA/LrgA family protein","A244T","N274Y"
"Bcen2424_0046",733.972383462313,-0.771915396654619,0.261839070387847,-2.94805276963146,0.00319782472866048,0.0322070037500559,"type II toxin-antitoxin system prevent-host-death family antitoxin","A244T","N274Y"
"Bcen2424_0047",160.25993764482,-0.428103967919293,0.173716407610287,-2.4643841868967,0.0137248910055993,0.0794797030127164,"DHA2 family efflux MFS transporter permease subunit","A244T","N274Y"
"Bcen2424_0048",485.393228815551,-0.365791907216474,0.132791530371668,-2.75463281575765,0.00587580362838348,0.0472160296321231,"MarR family transcriptional regulator","A244T","N274Y"
"Bcen2424_0049",405.717356191499,-0.685624996172948,0.283926247953056,-2.41479962178879,0.0157438682174472,0.0856659109609565,"multidrug ABC transporter ATPase/permease","A244T","N274Y"
"Bcen2424_0052",454.16509330503,-0.468385839640922,0.196192245848387,-2.38738201714088,0.0169688483722287,0.0901866570871453,"type II secretion system protein M","A244T","N274Y"
"Bcen2424_0070",3918.84996660834,0.298341247599996,0.106710440904181,2.79580184536851,0.00517711319490909,0.0435108451967654,"winged helix-turn-helix transcriptional regulator","A244T","N274Y"
"Bcen2424_0073",694.898660572955,0.60027103623202,0.238941411922511,2.51221013302913,0.0119977624338112,0.0735094093632787,"SET domain-containing protein-lysine N-methyltransferase","A244T","N274Y"
"Bcen2424_0076",574.352258365427,0.359065569759623,0.134242304709587,2.67475719026433,0.00747833907752829,0.0547615728255032,"DUF3717 domain-containing protein","A244T","N274Y"
"Bcen2424_0082",182.146399162244,-0.375677792943486,0.156290817498977,-2.40370994889667,0.0162296446681733,0.0872553211356526,"choline dehydrogenase","A244T","N274Y"
"Bcen2424_0111",2129.4967547161,0.461558768130166,0.190481059751365,2.42312158874293,0.0153877754212917,0.084545192111455,"uroporphyrinogen decarboxylase","A244T","N274Y"
"Bcen2424_0116",453.928547433097,0.790598138659369,0.325163702582567,2.43138496818726,0.0150412236421985,0.0836814228532163,"AMP-binding protein","A244T","N274Y"
"Bcen2424_0138",720.196146796757,-0.700974168702801,0.174798123929787,-4.01019274660162,6.06692017373795e-05,0.00330647149468718,"thiamine pyrophosphate-binding protein","A244T","N274Y"
"Bcen2424_0141",104.380569386271,-0.558678967409478,0.238278864343867,-2.34464340321529,0.0190452850300526,0.096845775946648,"AbrB family transcriptional regulator","A244T","N274Y"
"Bcen2424_0143",483.303757230099,0.479368279195857,0.116809500266582,4.1038466743017,4.06336813603607e-05,0.00271883582805265,"alginate lyase family protein","A244T","N274Y"
"Bcen2424_0146",2548.28675570324,0.64938045964229,0.223258436661773,2.90864913932042,0.00362993992151037,0.0351106306835375,"glycine cleavage system aminomethyltransferase GcvT","A244T","N274Y"
"Bcen2424_0147",334.629808832813,0.465458501209896,0.165111620344895,2.81905356047998,0.00481654803745137,0.0419970778432049,"hypothetical protein","A244T","N274Y"
"Bcen2424_0150",1098.37051849277,0.50527508951452,0.138146771305815,3.65752369554836,0.000254663723003585,0.00736027335731232,"UvrD-helicase domain-containing protein","A244T","N274Y"
